19 окт. 2025 14:14:19,580 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@d0a880d
19 окт. 2025 14:14:26,821 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:14:44,567 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM HIDE : FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:14:44,568 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:14:48,279 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1032266258 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:14:48,388 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT UNREFERENCED RF[FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:14:49,614 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:14:50,148 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM HIDE : FORM[1032266258 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:14:50,148 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1032266258 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:14:54,622 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:14:54,624 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM CLOSE : FORM[1697777943 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:14:55,181 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1032266258 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:15:00,184 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1032266258 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:15:00,184 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM CLOSE : FORM[1032266258 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:19:51,783 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1897958022 - Word.templates,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:19:54,168 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM HIDE : FORM[1897958022 - Word.templates,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:19:54,169 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1897958022 - Word.templates,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:19:59,233 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1897958022 - Word.templates,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:20:04,237 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1897958022 - Word.templates,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]]
19 окт. 2025 14:20:04,237 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM CLOSE : FORM[1897958022 - Word.templates,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',218793997,SQL@1422026341]]
19 окт. 2025 14:31:45,216 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@785f42cb
19 окт. 2025 14:31:49,690 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - Executed remote method (time: 3159 ms.): getNavigatorTree()
19 окт. 2025 14:31:56,959 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1329050426 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]
19 окт. 2025 14:32:25,192 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[611743525 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]
19 окт. 2025 14:32:27,480 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[1164615752 - Main.legalEntites,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]
19 окт. 2025 14:32:30,753 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM HIDE : FORM[611743525 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]
19 окт. 2025 14:32:30,754 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[611743525 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]]
19 окт. 2025 14:32:35,797 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[611743525 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]]
19 окт. 2025 14:32:40,804 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[611743525 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]]
19 окт. 2025 14:32:40,804 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM CLOSE : FORM[611743525 - Main.items,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',2019508939,SQL@1796116898]]
19 окт. 2025 14:33:01,218 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@5f753f83
19 окт. 2025 14:33:06,532 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - Executed remote method (time: 3953 ms.): getNavigatorTree()
19 окт. 2025 14:33:28,604 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[564614327 - Main.legalEntites,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1601519491,SQL@1417361564]]
19 окт. 2025 14:33:53,101 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@552ba04a
19 окт. 2025 14:50:11,729 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - FORM OPEN : FORM[808865677 - Main.stocks,RN[clientAddress: 172.20.10.3,263 - Authentication.CustomUser 'Обычный пользователь',1428922442,SQL@1477473253]]
19 окт. 2025 14:50:16,332 admin - dilpkn - 172.20.10.3  INFO RemoteLogger - executeEventAction started: [ID: 895, SID: _NEW_Main_stocks_s()]
